Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
11:40 AM,23,4,,,,,,,
11:45 AM,13.4,12,,,,,,,
11:50 AM,26.6,24,,1,2,,,,
11:55 AM,43.4,22,,,,,,,
12:00 PM,60.2,17,,,,,,,
12:05 PM,72.4,14,,,,,,,
12:10 PM,76,9,,,,,,,
12:15 PM,78.4,3,,,,,,,
12:20 PM,78.8,4,,,,,,,
12:25 PM,75.6,2,1,,,,,,
12:30 PM,73.8,1,,,,,,,
12:35 PM,74.4,3,,,,,,,
12:40 PM,75.4,2,,,,,,,
12:45 PM,79.4,4,,,,,,,
12:50 PM,78.4,1,,,,,,,
12:55 PM,78.2,4,,,,,,,
1:00 PM,82.2,4,,,,,,,
1:05 PM,80.6,2,,,,,,,
1:10 PM,80.2,7,,,,,,,
1:15 PM,79.8,2,,,,,,,
1:20 PM,80.6,2,,1,1,,,1,
1:25 PM,79.4,2,,,,,,,
1:30 PM,77.2,1,,,,,,,
1:35 PM,75.6,2,,,,,,,
1:40 PM,75,1,,,,,,,
1:45 PM,75.2,2,,,,,,,
1:50 PM,76,5,,,,,,,
1:55 PM,72.2,2,,,,,,,
2:00 PM,73,2,,,,,,,
2:05 PM,73.2,3,,,,,,,
2:10 PM,73.4,3,,,,,,,
2:15 PM,72.6,2,1,,,,,,
2:20 PM,73.4,2,,,,,,,
2:25 PM,71.4,,,,,,,,
2:30 PM,68.6,,,,,,,,
2:35 PM,68.8,1,,,,,,,
2:40 PM,69.4,3,,,,,,,
2:45 PM,69.4,1,,,,,,,
2:50 PM,73.4,9,,,,,,,
2:55 PM,70.4,2,,,,,,,
3:00 PM,69.8,,,,,,,,
3:05 PM,69.4,4,,,,,,,
3:10 PM,67.6,1,,,,,,,
3:15 PM,67.6,2,,,,,,,
3:20 PM,67,2,,,,,,,
3:25 PM,64.6,2,,,,,,,
3:30 PM,61,1,,,,,,,
3:35 PM,57.8,2,,,,,,,
3:40 PM,52.4,2,,,,,,,
3:45 PM,48.6,2,,1,1,,,,
3:50 PM,29.5,1,,,,,,,
