Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
11:40 AM,8,4,,,,,,,
11:45 AM,10,13,,,,,,,
11:50 AM,24.4,19,,,,,,,
11:55 AM,37.4,23,,,,,,,
12:00 PM,60.6,19,,,,,,,
12:05 PM,64.8,9,,,,,,,
12:10 PM,71.2,10,,,,,,,
12:15 PM,79.2,13,,2,3,,,,
12:20 PM,82,4,,,,,,,
12:25 PM,79,3,,,,,,,
12:30 PM,81,8,,,,,,,
12:35 PM,79.6,2,,,,,,,
12:40 PM,78.4,2,,,,,,,
12:45 PM,78.4,7,,,,,,,
12:50 PM,77,3,,,,,,,
12:55 PM,80.4,,,,,,,,
1:00 PM,76,3,2,,,,,,
1:05 PM,72,3,,,,,,,
1:10 PM,71.4,5,,,,,,,
1:15 PM,72,1,,,,,,,
1:20 PM,69.6,2,,,,,,,
1:25 PM,72,7,,,,,,,
1:30 PM,72.6,3,,,,,,,
1:35 PM,74,3,,,,,,,
1:40 PM,74.6,2,,,,,,,
1:45 PM,75,4,,,,,,,
1:50 PM,76,2,,,,,,,
1:55 PM,73,2,,,,,,,
2:00 PM,76.2,5,,1,1,,,,
2:05 PM,75.2,5,,,,,,,
2:10 PM,77.4,3,,,,,,,
2:15 PM,74.8,3,,,,,,,
2:20 PM,72.2,3,,,,,,,
2:25 PM,72.4,4,,,,,,,
2:30 PM,70.4,1,,,,,,,
2:35 PM,68.8,1,,1,1,,,,
2:40 PM,70.2,4,,,,,,,
2:45 PM,68.6,,,,,,,,
2:50 PM,68.8,4,,1,1,,,,
2:55 PM,66.6,4,,,,,,,
3:00 PM,65.6,4,,,,,,,
3:05 PM,68.6,5,,,,,,,
3:10 PM,67.6,3,,,,,,,
3:15 PM,66.8,5,,,,,,,
3:20 PM,65.8,6,,,,,,,
3:25 PM,65.6,4,1,,,,,,
3:30 PM,66,6,,,,,,,
3:35 PM,62.4,,,,,,,,
3:40 PM,62.4,6,,,,,,,
3:45 PM,63.8,5,,,,,,,
3:50 PM,59.8,,,,,,,,
3:55 PM,58.6,,,,,,,,
4:00 PM,58,,,,,,,,
